Year,Month,name,category,value
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2014,January,MiSeq,Illumina MiSeq,0
2013,July,HiSeq 2000 V3,Illumina HiSeq 2000,0.300994795
2013,July,HiSeq 2500,Illumina HiSeq 2000,0.045774172
2013,February,HiSeq 2000 V3,Illumina HiSeq 2000,0.207714415
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.23737001
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.034691332
2013,March,HiSeq 2500,Illumina HiSeq 2000,0.033736499
2013,March,HiSeq 2500,Illumina HiSeq 2000,0.04982067
2013,July,HiSeq 2000 V3,Illumina HiSeq 2000,0.033219029
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.03957926
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.034951919
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.047772372
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.045915402
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.040985775
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.050054469
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.042830617
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.036453658
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.282652483
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.235127716
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.213173756
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.027523476
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.050623358
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.250731088
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.246673588
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.233170002
2013,October,MiSeq,Illumina MiSeq,0.002400437
2013,September,MiSeq,Illumina MiSeq,0
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.010398272
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.040680655
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.025301367
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.048245761
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.044137723
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.048619748
2013,October,HiSeq 2500,Illumina HiSeq 2500,0.045436047
2013,October,MiSeq,Illumina MiSeq,0.005066427
2013,October,MiSeq,Illumina MiSeq,0
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.234498822
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.229518105
2013,October,HiSeq 2000 V3,Illumina HiSeq 2000,0.242374009
2013,October,HiSeq 2000E,Illumina HiSeq 2000,0.204408246
2013,October,HiSeq 2000 V3,Illumina HiSeq 2500,0.260771025
2013,October,HiSeq 2000 V3,Illumina HiSeq 2500,0.075504388
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.029184801
2013,July,HiSeq 2500,Illumina HiSeq 2500,0.038738233
2013,June,HiSeq 2000 V3,Illumina HiSeq 2000,0.26742466
2013,May,HiSeq 2000 V3,Illumina HiSeq 2000,0.218223916
2013,September,HiSeq 2000 V3,Illumina HiSeq 2000,0.22594243
2013,August,HiSeq 2500,Illumina HiSeq 2500,0.032880752
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.050175078
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.049309323
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.052678743
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.048486787
2013,September,MiSeq,Illumina MiSeq,0.003972862
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.049950435
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.055090762
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.047488536
2013,September,HiSeq 2500,Illumina HiSeq 2500,0.047549044
